Date,Actual Generation [GWh],Primary Source
2022-01-01 00:00:00,11.34,Thermal
2022-01-01 01:00:00,10.63,Thermal
2022-01-01 02:00:00,9.84,Thermal
2022-01-01 03:00:00,9.41,Thermal
2022-01-01 04:00:00,8.78,Thermal
2022-01-01 05:00:00,8.77,Thermal
2022-01-01 06:00:00,8.98,Thermal
2022-01-01 07:00:00,8.88,Thermal
2022-01-01 08:00:00,8.16,Thermal
2022-01-01 09:00:00,8.00,Thermal
2022-01-01 10:00:00,8.37,Thermal
2022-01-01 11:00:00,9.50,Thermal
2022-01-01 12:00:00,9.55,Thermal
2022-01-01 13:00:00,9.12,Thermal
2022-01-01 14:00:00,8.69,Thermal
2022-01-01 15:00:00,9.44,Thermal
2022-01-01 16:00:00,10.92,Thermal
2022-01-01 17:00:00,12.63,Thermal
2022-01-01 18:00:00,13.15,Thermal
2022-01-01 19:00:00,13.45,Thermal
2022-01-01 20:00:00,13.53,Thermal
2022-01-01 21:00:00,13.49,Thermal
2022-01-01 22:00:00,12.84,Thermal
2022-01-01 23:00:00,11.53,Thermal
2022-01-02 00:00:00,9.78,Thermal
2022-01-02 01:00:00,9.49,Thermal
2022-01-02 02:00:00,9.39,Thermal
2022-01-02 03:00:00,9.56,Thermal
2022-01-02 04:00:00,9.85,Thermal
2022-01-02 05:00:00,10.00,Thermal
2022-01-02 06:00:00,10.54,Thermal
2022-01-02 07:00:00,10.64,Thermal
2022-01-02 08:00:00,10.39,Thermal
2022-01-02 09:00:00,10.93,Thermal
2022-01-02 10:00:00,11.33,Thermal
2022-01-02 11:00:00,11.62,Thermal
2022-01-02 12:00:00,11.71,Thermal
2022-01-02 13:00:00,11.68,Thermal
2022-01-02 14:00:00,11.22,Thermal
2022-01-02 15:00:00,11.88,Thermal
2022-01-02 16:00:00,12.48,Thermal
2022-01-02 17:00:00,13.35,Thermal
2022-01-02 18:00:00,14.14,Thermal
2022-01-02 19:00:00,14.60,Thermal
2022-01-02 20:00:00,13.99,Thermal
2022-01-02 21:00:00,13.55,Thermal
2022-01-02 22:00:00,11.68,Thermal
2022-01-02 23:00:00,10.25,Thermal
2022-01-03 00:00:00,9.97,Thermal
2022-01-03 01:00:00,9.84,Thermal
2022-01-03 02:00:00,9.48,Thermal
2022-01-03 03:00:00,9.22,Thermal
2022-01-03 04:00:00,9.58,Thermal
2022-01-03 05:00:00,10.15,Thermal
2022-01-03 06:00:00,12.68,Thermal
2022-01-03 07:00:00,15.64,Thermal
2022-01-03 08:00:00,17.26,Thermal
2022-01-03 09:00:00,18.28,Thermal
2022-01-03 10:00:00,18.17,Thermal
2022-01-03 11:00:00,18.40,Thermal
2022-01-03 12:00:00,18.45,Thermal
2022-01-03 13:00:00,18.20,Thermal
2022-01-03 14:00:00,18.67,Thermal
2022-01-03 15:00:00,19.00,Thermal
2022-01-03 16:00:00,20.51,Thermal
2022-01-03 17:00:00,20.93,Thermal
2022-01-03 18:00:00,20.46,Thermal
2022-01-03 19:00:00,21.02,Thermal
2022-01-03 20:00:00,20.63,Thermal
2022-01-03 21:00:00,18.26,Thermal
2022-01-03 22:00:00,16.91,Thermal
2022-01-03 23:00:00,14.53,Thermal
2022-01-04 00:00:00,11.86,Thermal
2022-01-04 01:00:00,10.53,Thermal
2022-01-04 02:00:00,10.45,Thermal
2022-01-04 03:00:00,10.56,Thermal
2022-01-04 04:00:00,10.87,Thermal
2022-01-04 05:00:00,11.57,Thermal
2022-01-04 06:00:00,15.33,Thermal
2022-01-04 07:00:00,18.49,Thermal
2022-01-04 08:00:00,19.86,Thermal
2022-01-04 09:00:00,20.28,Thermal
2022-01-04 10:00:00,19.72,Thermal
2022-01-04 11:00:00,19.54,Thermal
2022-01-04 12:00:00,19.27,Thermal
2022-01-04 13:00:00,18.93,Thermal
2022-01-04 14:00:00,19.28,Thermal
2022-01-04 15:00:00,20.04,Thermal
2022-01-04 16:00:00,21.29,Thermal
2022-01-04 17:00:00,21.10,Thermal
2022-01-04 18:00:00,20.67,Thermal
2022-01-04 19:00:00,20.85,Thermal
2022-01-04 20:00:00,20.01,Thermal
2022-01-04 21:00:00,18.09,Thermal
2022-01-04 22:00:00,15.89,Thermal
2022-01-04 23:00:00,12.30,Thermal
2022-01-05 00:00:00,11.36,Thermal
2022-01-05 01:00:00,10.86,Thermal
2022-01-05 02:00:00,10.69,Thermal
2022-01-05 03:00:00,10.36,Thermal
2022-01-05 04:00:00,10.46,Thermal
2022-01-05 05:00:00,11.76,Thermal
2022-01-05 06:00:00,12.95,Thermal
2022-01-05 07:00:00,16.29,Thermal
2022-01-05 08:00:00,17.72,Thermal
2022-01-05 09:00:00,18.36,Thermal
2022-01-05 10:00:00,17.98,Thermal
2022-01-05 11:00:00,18.19,Thermal
2022-01-05 12:00:00,18.24,Thermal
2022-01-05 13:00:00,17.32,Thermal
2022-01-05 14:00:00,18.05,Thermal
2022-01-05 15:00:00,18.03,Thermal
2022-01-05 16:00:00,18.87,Thermal
2022-01-05 17:00:00,19.89,Thermal
2022-01-05 18:00:00,20.07,Thermal
2022-01-05 19:00:00,19.77,Thermal
2022-01-05 20:00:00,19.73,Thermal
2022-01-05 21:00:00,17.45,Thermal
2022-01-05 22:00:00,16.66,Thermal
2022-01-05 23:00:00,16.62,Thermal
2022-01-06 00:00:00,14.55,Thermal
2022-01-06 01:00:00,13.76,Thermal
2022-01-06 02:00:00,12.27,Thermal
2022-01-06 03:00:00,11.41,Thermal
2022-01-06 04:00:00,11.24,Thermal
2022-01-06 05:00:00,13.66,Thermal
2022-01-06 06:00:00,13.71,Thermal
2022-01-06 07:00:00,16.30,Thermal
2022-01-06 08:00:00,17.43,Thermal
2022-01-06 09:00:00,17.40,Thermal
2022-01-06 10:00:00,17.42,Thermal
2022-01-06 11:00:00,17.56,Thermal
